,index,project,cell_specimen_id,cell_specimen_name,hemisphere,structure,donor_id,donor_name,biological_sex,age,ethnicity,medical_conditions,full_genotype,dendrite_type,apical_dendrite_status,neuron_reconstruction_type,cell_soma_normalized_depth,depth_from_pia_um,ephys_session_id,transcriptomics_sample_id,transcriptomics_batch,Tree_first_cl_label,T-type_Label,file_name,file_type,archive,archive_uri
0,12,mIVSCC-MET,606098116,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337417.04.02.02,right,VISp2/3,337417,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337417,M,P55,,,Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt,aspiny,,full,0.281891345,,606098055,PS0830_E1-50_S70,BT038,CS180626100059,Pvalb Tpbg,sub-605770584_ses-606098055_icephys.nwb,nwb,DANDI,https://api.dandiarchive.org/api/assets/6d7ab5e6-2bd3-47a3-bd47-e3e9c5919f73/download/
1,13,mIVSCC-MET,606271263,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416.05.01.01,left,VISp2/3,337416,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416,M,P56,,,Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt,aspiny,,full,0.17944989,,606271245,PS0830_E1-50_S83,BT038,CS180626100060,Pvalb Vipr2,sub-604669385_ses-606271245_icephys.nwb,nwb,DANDI,https://api.dandiarchive.org/api/assets/c0c06ca4-3167-4013-86b2-5a8873741dba/download/
2,14,mIVSCC-MET,606308411,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416.05.01.03,left,VISam2/3,337416,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416,M,P56,,,Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt,aspiny,,full,0.171680017,,606308251,PS0830_E1-50_S85,BT038,CS180626100060,Pvalb Vipr2,sub-604669385_ses-606308251_icephys.nwb,nwb,DANDI,https://api.dandiarchive.org/api/assets/7387d93b-09da-4686-934a-3a5a7d57febb/download/
3,19,mIVSCC-MET,614728680,Pvalb-IRES-Cre;Ai14-344090.04.01.01,left,VISp5,344090,Pvalb-IRES-Cre;Ai14-344090,F,P51,,,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,,full,0.604392274,,614728579,PS0921_E1-50_S34,BT040,CS180626100058,Pvalb Reln Itm2a,sub-612905668_ses-614728579_icephys.nwb,nwb,DANDI,https://api.dandiarchive.org/api/assets/92a04ecb-1249-4d0e-9066-b068c4db15fb/download/
4,22,mIVSCC-MET,623415197,Sst-IRES-Cre;Ai14-346780.04.02.01,right,VISp2/3,346780,Sst-IRES-Cre;Ai14-346780,M,P50,,,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,,full,0.190213546,,623415006,SM-GE62S_S110_E1-50,RSC-122,CS180626100059,Pvalb Tpbg,sub-617297314_ses-623415006_icephys.nwb,nwb,DANDI,https://api.dandiarchive.org/api/assets/7c803b84-c2b3-40b0-8fcc-ea1be030d17d/download/
5,56,mIVSCC-MET,637919747,Pvalb-IRES-Cre;Ai14-347579.04.02.02,right,VISp4,347579,Pvalb-IRES-Cre;Ai14-347579,F,P54,,,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,,,,,637919731,SM-GE63O_S004_E1-50,RSC-124,CS180626100058,Pvalb Reln Itm2a,sub-626194774_ses-637919731_icephys.nwb,nwb,DANDI,https://api.dandiarchive.org/api/assets/2fd9698f-d9a6-4236-be54-8fc91db4f424/download/
6,62,mIVSCC-MET,638356222,Pvalb-IRES-Cre;Ai14-349028.04.02.03,right,VISp5,349028,Pvalb-IRES-Cre;Ai14-349028,M,P51,,,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,,,,,638356193,SM-GE63O_S031_E1-50,RSC-124,CS180626100055,Pvalb Sema3e Kank4,sub-637383917_ses-638356193_icephys.nwb,nwb,DANDI,https://api.dandiarchive.org/api/assets/bc081072-2eb8-4c93-8365-22a311ae1564/download/
7,63,mIVSCC-MET,638356259,Slc32a1-IRES-Cre;Ai14-347203.06.02.01,right,VISp4,347203,Slc32a1-IRES-Cre;Ai14-347203,M,P60,,,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,,,,,638356240,SM-GE63O_S036_E1-50,RSC-124,CS180626100058,Pvalb Reln Itm2a,sub-637383967_ses-638356240_icephys.nwb,nwb,DANDI,https://api.dandiarchive.org/api/assets/5372a662-8719-4028-ae76-dc36854000a2/download/
8,66,mIVSCC-MET,638782470,Slc32a1-IRES-Cre;Ai14-347204.06.01.01,left,VISp5,347204,Slc32a1-IRES-Cre;Ai14-347204,F,P61,,,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,,,,,638782455,SM-GE63O_S056_E1-50,RSC-124,CS180626100058,Pvalb Reln Itm2a,sub-637383977_ses-638782455_icephys.nwb,nwb,DANDI,https://api.dandiarchive.org/api/assets/23b36a08-d257-4cb3-8950-a5a038ca4ba4/download/
9,79,mIVSCC-MET,639356925,Slc32a1-IRES-Cre;Ai14-348998.03.02.02,right,VISp5,348998,Slc32a1-IRES-Cre;Ai14-348998,M,P55,,,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,aspiny,,,,,639356839,SM-GE63H_S119_E1-50,RSC-125,CS180626100052,Pvalb Th Sst,sub-637384003_ses-639356839_icephys.nwb,nwb,DANDI,https://api.dandiarchive.org/api/assets/567f839c-b5d6-42b9-9df5-8cc6e49492e8/download/
